id,created_at,text
1194068160783237120,2019-11-12 01:43:28,"b'RT @realDonaldTrump: Schiff is giving Republicans NO WITNESSES, NO LAWYER &amp; NO DUE PROCESS! It is a totally one sided Witch Hunt. This can\xe2\x80\x99\xe2\x80\xa6'"
1194015685120274432,2019-11-11 22:14:57,b'RT @realDonaldTrump: Read the Transcript. It is PERFECT!'
1193988735056121857,2019-11-11 20:27:52,b'RT @realDonaldTrump: Where is the Whistleblower who gave so much false information? Must testify along with Schiff and others!'
1193985440455569410,2019-11-11 20:14:46,"b'RT @WhiteHouse: As a candidate, @realDonaldTrump made veterans a centerpiece of his presidential campaign. As President, he restored qualit\xe2\x80\xa6'"
1193978569598406656,2019-11-11 19:47:28,"b'RT @realDonaldTrump: Today, we come together as one Nation to salute the Veterans of the United States Armed Forces \xe2\x80\x93 the greatest warriors\xe2\x80\xa6'"
1193941379447173120,2019-11-11 17:19:41,"b'RT @WhiteHouse: On November 11, we share ""our Nation\xe2\x80\x99s deepest praise and gratitude to every citizen who has worn the uniform of the Americ\xe2\x80\xa6'"
1193936566483324932,2019-11-11 17:00:34,"b""RT @WhiteHouse: Just weeks ago, our great American warriors brought the world's number one terrorist leader to justice. https://t.co/qgNBus\xe2\x80\xa6"""
1193934119450873856,2019-11-11 16:50:50,b'RT @WhiteHouse: The noble tradition of the annual Veterans Day Parade in New York City\xe2\x80\x94the largest celebration of its kind in the country!\xe2\x80\x94\xe2\x80\xa6'
1193930186305232896,2019-11-11 16:35:13,"b'RT @WhiteHouse: Today, our Nation comes together to salute the veterans of the United States Armed Forces. https://t.co/hBPoEwkaqz'"
1193930186305220609,2019-11-11 16:35:13,"b'RT @WhiteHouse: ""The First Lady and I have come to express the everlasting love and loyalty of 327 million Americans."" https://t.co/suJpBU8\xe2\x80\xa6'"
1193900797865742336,2019-11-11 14:38:26,"b'RT @realDonaldTrump: \xe2\x80\x9cThe Chinese say (about Trump\xe2\x80\x99s Trade War &amp; Tariffs), \xe2\x80\x98he brought us to the table.\xe2\x80\x99 This is the most prosperous econom\xe2\x80\xa6'"
1193897036430630913,2019-11-11 14:23:29,b'RT @realDonaldTrump: Shifty Adam Schiff will only release doctored transcripts. We haven\xe2\x80\x99t even seen the documents and are restricted from\xe2\x80\xa6'
1193895878194581504,2019-11-11 14:18:53,b'RT @realDonaldTrump: The lawyer for the Whistleblower takes away all credibility from this big Impeachment Scam! It should be ended and the\xe2\x80\xa6'
1193895764977758209,2019-11-11 14:18:26,"b'RT @realDonaldTrump: Will be meeting with representatives of the Vaping industry, together with medical professionals and individual state\xe2\x80\xa6'"
1193887700794957824,2019-11-11 13:46:23,b'RT @realDonaldTrump: HAPPY VETERANS DAY!'
1193887456082452480,2019-11-11 13:45:25,"b'RT @realDonaldTrump: If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Iran f\xe2\x80\xa6'"
1193606348992319488,2019-11-10 19:08:24,b'RT @realDonaldTrump: \xe2\x80\x9cThere\xe2\x80\x99s nothing there! I\xe2\x80\x99m trying to let the House know that they\xe2\x80\x99re dividing America for no good reason. We\xe2\x80\x99ve got a\xe2\x80\xa6'
1193604236690505734,2019-11-10 19:00:00,b'RT @realDonaldTrump: Corrupt politician Adam Schiff wants people from the White House to testify in his and Pelosi\xe2\x80\x99s disgraceful Witch Hunt\xe2\x80\xa6'
1193569286998106113,2019-11-10 16:41:08,b'RT @realDonaldTrump: ABC is as bad as the rest of them. Journalistic standards are nonexistent today. The press is so dishonest that we no\xe2\x80\xa6'
1193330790496702464,2019-11-10 00:53:26,b'RT @realDonaldTrump: Thank you to LSU and Alabama for a great game!'
1193248731577176064,2019-11-09 19:27:21,b'RT @realDonaldTrump: ....Whatever happened to the so-called \xe2\x80\x9cinformer\xe2\x80\x9d to Whistleblower #1? Seems to have disappeared after I released the\xe2\x80\xa6'
1193248621980012544,2019-11-09 19:26:55,"b'RT @realDonaldTrump: I recommend that Nervous Nancy Pelosi (who backed up Schiff\xe2\x80\x99s lie), Shifty Adam Schiff, Sleepy Joe Biden, the Whistleb\xe2\x80\xa6'"
1193230392658202627,2019-11-09 18:14:29,b'RT @realDonaldTrump: PRESIDENTIAL HARASSMENT!'
1193191897684201472,2019-11-09 15:41:31,"b'RT @realDonaldTrump: Just finished reading my son Donald\xe2\x80\x99s just out new book, \xe2\x80\x9cTriggered.\xe2\x80\x9d It is really good! He, along with many of us, wa\xe2\x80\xa6'"
1193191637738020869,2019-11-09 15:40:29,"b'RT @realDonaldTrump: Fake News is reporting that I am talking to Mark Burnett about doing a big show, perhaps The Apprentice, after the pre\xe2\x80\xa6'"
1193191508796747777,2019-11-09 15:39:58,"b""RT @realDonaldTrump: \xe2\x80\x9cMark Levin blasts Adam Schiff, claims 'the law is on the president's side' on Ukraine\xe2\x80\x9d https://t.co/GhO065fd8X"""
1192617045554319361,2019-11-08 01:37:16,"b'RT @WhiteHouse: ""On behalf of our entire Nation, I pledge that we will forever and always remember this incredible American hero."" https://\xe2\x80\xa6'"
1192617045453672448,2019-11-08 01:37:16,"b'RT @WhiteHouse: The United States is proud to honor Rick Rescorla, whose valiant and selfless sacrifice for his fellow Americans on one of\xe2\x80\xa6'"
1192605377722015745,2019-11-08 00:50:54,"b'RT @WhiteHouse: At the cost of his own, Rick Rescorla helped save the lives of nearly 2,700 people at the World Trade Center on the morning\xe2\x80\xa6'"
1192605264966496256,2019-11-08 00:50:27,b'RT @realDonaldTrump: STATEMENT FROM PRESIDENT DONALD J. TRUMP https://t.co/EktztHfLk6'
1192488215158099968,2019-11-07 17:05:20,b'RT @realDonaldTrump: Stock Market up big today. A New Record. Enjoy!'
1192465320990138368,2019-11-07 15:34:22,"b'RT @realDonaldTrump: The Amazon Washington Post and three lowlife reporters, Matt Zapotosky, Josh Dawsey, and Carol Leonnig, wrote another\xe2\x80\xa6'"
1192461699510616065,2019-11-07 15:19:58,"b'RT @realDonaldTrump: It was just explained to me that for next weeks Fake Hearing (trial) in the House, as they interview Never Trumpers an\xe2\x80\xa6'"
1192451049367461888,2019-11-07 14:37:39,"b'RT @realDonaldTrump: Based on the information released last night about the Fake Whistleblowers attorney, the Impeachment Hoax should be en\xe2\x80\xa6'"
1192439427035017216,2019-11-07 13:51:28,b'RT @realDonaldTrump: Read the Transcript!'
